User,Text
@MinhNguyen-1212,"Set nay hay thật ngoại trừ việc Nam chọc Long trọc quá nhiều,người ngoài thấy mắc cười nhưng nếu bản thân mình là Long trọc mình sẽ thấy ko vui. Là một người hâm mộ hâm mộ Nam , hy vọng bạn sẽ ko dùng khuyết điểm của khán giả để tạo miếng như này, anh Long trọc cười ngượng trông khổ vl 😢😢"
@KongDinh,"quá đỉnh, Xuất Xuất Xuất Hóa đơn cho anh luôn em ơi. Nam ơi đỉnh quá"
@nguyentrungtinh1593,"Gì chứ thích thêm phần tương tác với khán giả, mà cái này phải khéo cực kỳ k là dễ phản cảm."
@manhtiennguyen4071,Đừng lấy khiếm khuyết của người khác để làm trò cười. Đó là nguyên tắc tối thiểu. Ok!
@huynguyen-pf9bl,anh Nam biết đây là tháng 11 nên cho quả chốt phá record :') em suýt rồi nha
@AnhHồKỳ-i2w3t,Cười k nhặt đc mồm 😂
@ThuPham-ce1bn,"Phương Nam nói câu nào đắt giá câu đó, xuất sắc luôn"
@TTH1973,Tuyệt vời . . Phải phương nam  quê gốc Phú thọ không
@khoanguyen12049,cái đoạn tao rất gay nghe cười mệt thiệt 😂 Phương Nam duyên quá ❤
@Ryo.Monster102,Ảnh đụng anh long quài luôn cười ỉa😂😂😂
@bxssvdrgn,méee hay qué
@LasioneKettara,"Great video, I learned so much."
@HuỳnhÂnPhan-u2t,Càng ngày ảnh càng thăng hạng về nhan sắc lẫn tiểu phẩm hài của anh😊😊😊
@QuốcCườngLê-x1h,Nam nãy diễn lên trình quá em..
@linhcnc,😁😁😁😁😁😁
@MinhNgô-z6e,Sói thật:)🐺
@namphuc-3143,Big bang Phương Nam🎉🎉🎉
@Marykim1369,Mắc cười nhất ông tên Long mà ko có lông 😂😂😂😂
@Leaf9999,Quá hay🎉
@Waiwai-m8e,Đang ăn cơm mà xem tới khúc cuốn muốn sặc cơm😂
@sangngoc1997,xem mà cuốn quên cả tg
@TuyetTran-jx6xn,Con quên đoạn ba đứng đợi đèn xanh ở ngã tư Nguyễn Biểu - Trần Hưng Đạo ổng hắt xì mà có cô kia kế bên giật mình bỏ xe đạp chạy lên lề đường luôn.
@HoaNguyen-on9ri,Há..há…há…❤
@yennhiphamnguyen8602,"Đàn bà ai vậy, đàn ông ai biết."
@thtjv,"Vô tình thấy trên Utube, lần đầu xem hài độc thoại này. Bạn Nam này có duyên thật, dễ thương. Nói câu nào khán giả cười câu đó là nhất rồi. 
Thấy vài bạn cmt so sánh ndung blabla...qtrong hoá quá! 
Qtrong nhất là đem tiếng cười, vẫn có ndung truyền tải thông điệp mà."
@aimy1212,Ông Long xem set này cười đủ tiền vé luôn
@VietHoangHT,"Hay nhưng phần nói về comment đcm thì không ổn Nam nhé, chuyện đó không thể mang ra giỡn"
@TinaHoang-g4z,tui cười điên lun á :)))))
@thanhdungtran2502,Lâu thiệt lâu mới gặp lại Phương Nam. Cố gắng sx show về lại ĐN lần nữa nha SG Tếu
@quangtruongvy6399,Xuất hoá đơn kiểu đó nhân viên nó đẻ luôn đó ba :)))
@Hwx0suy,a Nam h đẹp zai v vs trông h đô vcl
@nguyendangduclinh124,tóc ngắn dễ thương zậy. Muốn nghe tóc ngắn hắt xì :v
@phuongpipiNguyen,tích phước cả năm diễn show này cạn phước :)))
@lienpham-ve9rp,cả team tui coi mỗi ô nam . ng khác là lướt qua hết😂
@Minhbảo156,Ở 11:30 ai quen thế m.n
@KiGimart,hg
@HoangPhuc994,Nam tập gym đúng hong
@ngocnguyenanh4888,quáooooooooo.....anh Nam càng ngày càng mặn luôn á. Sẽ sắp xếp đi coi show có anh ạ 😆😆😆
@rophuoc6180,👍
@MaiMai-gi8kc,"Đoạn cuối cắt shorst xem cho đã, xem đj xem lại vẫn thấy hài😂😂😂"
@-BuiTanphat-fe2bp,Cạn Lời
@lapxuan9510,😆😆
@tranthong7337,nhạt dần
